"replicate","scenario","interim_n","information_fraction","ATE_hat","mean_CATE_hat","sd_CATE_hat","min_CATE_hat","max_CATE_hat","fraction_negative_CATE","fraction_CATE_meaningfully_harmed","mean_true_CATE"
226,"A_threshold",1000,0.25,-0.0176835652763458,-0.0170808571640064,0.0117086099976993,-0.0470742669453147,0.0329346335732032,0.918,0.439,-0.0098
226,"A_threshold",1600,0.4,-0.021505376344086,-0.0210638955068344,0.0246545958956422,-0.0902302599950578,0.0825593237831575,0.814375,0.5425,-0.00985
226,"A_threshold",2200,0.55,-0.029657949282477,-0.0295706115468479,0.022453540794625,-0.0963757250202265,0.0637985865582123,0.902727272727273,0.693636363636364,-0.00961818181818182
226,"A_threshold",2800,0.7,-0.0181337104769602,-0.0181515663586148,0.02076757188166,-0.074761964700699,0.0792558210728965,0.823571428571429,0.500714285714286,-0.00921428571428571
226,"A_threshold",3400,0.85,-0.0152941176470588,-0.0154180132076557,0.0252021127605484,-0.0864213341967905,0.134227456651612,0.759411764705882,0.458823529411765,-0.00965882352941176
226,"A_threshold",4000,1,-0.00990680725790825,-0.00999741602135471,0.0225304170028467,-0.0758079551136582,0.118047291655379,0.7015,0.34425,-0.00969
226,"B_smooth_logistic",1000,0.25,-0.0305387807698926,-0.0296884405922332,0.0711528779849332,-0.14398482327506,0.10757872255133,0.653,0.58,-0.0380403077082761
226,"B_smooth_logistic",1600,0.4,-0.0283012970776684,-0.0286726744755533,0.04788141482864,-0.120027069681724,0.0431709130616829,0.656875,0.52125,-0.0376022418896939
226,"B_smooth_logistic",2200,0.55,-0.0286825554452168,-0.0285346620220964,0.0414342674696706,-0.105103873393575,0.0375814131841341,0.69,0.545909090909091,-0.0374257807077545
226,"B_smooth_logistic",2800,0.7,-0.03021225751823,-0.0301263796690033,0.0387634577578849,-0.101921602315569,0.0316467617916328,0.719642857142857,0.563214285714286,-0.0372580177816001
226,"B_smooth_logistic",3400,0.85,-0.0319065996989499,-0.0317785005747795,0.0412599316117912,-0.106675634787974,0.0369517426923814,0.722941176470588,0.576176470588235,-0.0372973012058091
226,"B_smooth_logistic",4000,1,-0.0339728920964619,-0.033937490585291,0.0394626657957728,-0.104179302441417,0.0334189706723795,0.75125,0.5995,-0.0374217320587491
227,"A_threshold",1000,0.25,-0.0418167266906763,-0.0433358408239942,0.00295664182350252,-0.0468236012636797,-0.0316569103912965,1,1,-0.00936
227,"A_threshold",1600,0.4,-0.0228176339676427,-0.0238422690118324,0.0170666256294976,-0.0561880301332792,0.0673059255673362,0.90875,0.644375,-0.00935
227,"A_threshold",2200,0.55,-0.0214595433685727,-0.021873947814329,0.00932643486209029,-0.0454781652994463,0.0181757217991685,0.981363636363636,0.606363636363636,-0.00945454545454546
227,"A_threshold",2800,0.7,-0.0205654215145948,-0.0208857518072487,0.00809800654679501,-0.0417673587707079,0.0127926730535346,0.989285714285714,0.566785714285714,-0.00971428571428572
227,"A_threshold",3400,0.85,-0.0268687185440469,-0.027184472022678,0.00936895337242434,-0.051083908686472,0.0137633198715369,0.994117647058824,0.793235294117647,-0.00982352941176471
227,"A_threshold",4000,1,-0.0200681183134928,-0.020516686828341,0.0121451168503111,-0.0513972059630654,0.0328728397799363,0.94025,0.54725,-0.00971
227,"B_smooth_logistic",1000,0.25,-0.0415258174594274,-0.0414337398556496,0.00778756514837204,-0.0533417285310839,-0.0260578560267346,1,1,-0.0364676857631837
227,"B_smooth_logistic",1600,0.4,-0.0441761044026101,-0.0438901054050946,0.0122158749345877,-0.0676123154278694,-0.0247297548515945,1,1,-0.0367694117483141
227,"B_smooth_logistic",2200,0.55,-0.0372727272727273,-0.0372548184908961,0.0104612125725327,-0.0561594828155252,-0.0197658845312656,1,0.993181818181818,-0.0367759198109579
227,"B_smooth_logistic",2800,0.7,-0.0383462448447073,-0.0383794938663179,0.00501292532917641,-0.0475215663418524,-0.030150857289072,1,1,-0.0368579870474832
227,"B_smooth_logistic",3400,0.85,-0.0395027818348726,-0.0395077646564988,0.000660498082458536,-0.0406189172599841,-0.0383410037507581,1,1,-0.0369786742451342
227,"B_smooth_logistic",4000,1,-0.0384202596050649,-0.0384198299846284,0.000984693240853877,-0.040032611385451,-0.0366391620206804,1,1,-0.0371321031586322
228,"A_threshold",1000,0.25,0.0105026196142865,0.010094086875777,0.0441822901247018,-0.220748361697032,0.149052997102744,0.378,0.223,-0.00968
228,"A_threshold",1600,0.4,-0.00964705882352941,-0.00956122844489038,0.0316718144883354,-0.145243421265776,0.113124163753113,0.6225,0.37,-0.0093
228,"A_threshold",2200,0.55,-0.00461117856956622,-0.0042096890846813,0.0303673984670029,-0.114050971092061,0.135234138127383,0.574545454545455,0.313636363636364,-0.00930909090909091
228,"A_threshold",2800,0.7,-0.0114970705758341,-0.0111111849585936,0.0245622142187628,-0.0980689372374689,0.105469554508218,0.695357142857143,0.377142857142857,-0.00914285714285714
